id,company,ticker,layoff_date,price_30d_before,price_on_layoff_day,price_30d_after,pct_change_before,pct_change_after
134,Amazon,AMZN,2023-11-08,128.26,142.08,147.42,10.77,3.76
135,Google,GOOGL,2023-11-08,137.20,130.68,133.80,-4.75,2.39
136,F5,FFIV,2023-11-03,155.82,154.08,173.15,-1.12,12.38
137,Google,GOOGL,2023-10-18,137.00,136.75,134.12,-0.18,-1.92
138,Qualcomm,QCOM,2023-10-12,104.95,105.17,117.20,0.21,11.44
139,Meta,META,2023-10-04,297.54,302.92,311.86,1.81,2.95
140,Snap,SNAP,2023-09-27,9.45,8.49,9.30,-10.16,9.54
141,Cisco,CSCO,2023-09-17,50.85,51.84,50.19,1.94,-3.17
142,Google,GOOGL,2023-09-13,130.18,135.51,136.15,4.10,0.48
143,Intel,INTC,2023-08-17,33.81,32.04,37.26,-5.23,16.27
144,Salesforce,CRM,2023-08-02,208.05,216.75,217.76,4.18,0.47
145,Microsoft,MSFT,2023-07-18,330.24,351.18,310.21,6.34,-11.67
146,Amazon,AMZN,2023-07-13,126.66,134.30,138.41,6.03,3.06
147,Peloton,PTON,2023-07-13,9.45,9.60,7.56,1.59,-21.25
148,Uber,UBER,2023-06-21,39.17,42.66,47.23,8.91,10.71
149,Qualcomm,QCOM,2023-06-16,97.52,114.94,115.62,17.86,0.59
150,Chegg,CHGG,2023-06-12,9.71,10.93,9.39,12.56,-14.09
151,Unity,U,2023-06-06,28.35,35.84,40.55,26.42,13.14
152,Spotify,SPOT,2023-06-05,141.75,156.34,160.73,10.29,2.81
153,Qualcomm,QCOM,2023-05-23,109.19,96.36,109.06,-11.75,13.18
154,Microsoft,MSFT,2023-05-10,282.08,304.43,319.24,7.92,4.87
155,Shopify,SHOP,2023-05-04,47.59,57.30,58.29,20.40,1.73
156,Unity,U,2023-05-03,32.17,24.99,31.00,-22.32,24.05
157,Lyft,LYFT,2023-04-21,9.96,10.44,8.10,4.82,-22.41
158,F5,FFIV,2023-04-19,142.62,137.05,142.53,-3.91,4.00
159,Opendoor,OPEN,2023-04-18,1.45,1.69,2.42,16.55,43.20
160,Redfin,RDFN,2023-04-11,,,,,
161,Spotify,SPOT,2023-03-30,116.30,130.83,133.60,12.49,2.12
162,Amazon,AMZN,2023-03-20,97.20,97.71,104.30,0.52,6.74
163,Meta,META,2023-03-14,177.87,192.33,218.43,8.13,13.57
164,eBay,EBAY,2023-02-07,40.83,47.07,40.53,15.28,-13.90
165,Rivian,RIVN,2023-02-01,17.34,19.71,16.92,13.67,-14.16
166,PayPal,PYPL,2023-01-31,73.94,80.79,73.46,9.27,-9.07
167,Intel,INTC,2023-01-30,25.49,26.95,24.72,5.75,-8.27
168,Spotify,SPOT,2023-01-23,77.70,99.94,120.07,28.62,20.14
169,Google,GOOGL,2023-01-20,88.79,97.16,90.98,9.42,-6.36
170,Wayfair,W,2023-01-20,36.78,46.79,47.97,27.22,2.52
171,Microsoft,MSFT,2023-01-18,233.79,229.28,251.55,-1.93,9.71
172,Unity,U,2023-01-17,27.92,32.38,40.72,15.97,25.76
173,Oracle,ORCL,2023-01-17,76.82,84.87,84.03,10.47,-0.99
174,Amazon,AMZN,2023-01-04,91.01,85.14,103.39,-6.45,21.44
175,Salesforce,CRM,2023-01-04,131.65,137.22,168.13,4.23,22.53
176,Qualcomm,QCOM,2022-12-22,113.63,102.36,113.66,-9.92,11.04
177,Unity,U,2022-12-09,21.50,33.93,29.23,57.81,-13.85
178,Intel,INTC,2022-12-06,27.40,27.58,26.58,0.67,-3.64
179,Amazon,AMZN,2022-11-16,113.79,97.12,87.86,-14.65,-9.53
180,Cisco,CSCO,2022-11-16,37.29,40.08,43.17,7.48,7.70
181,Meta,META,2022-11-09,132.63,100.59,114.89,-24.16,14.22
182,Redfin,RDFN,2022-11-09,,,,,
183,Spotify,SPOT,2022-11-09,85.97,71.40,78.17,-16.95,9.48
184,Salesforce,CRM,2022-11-07,147.73,142.13,128.26,-3.79,-9.76
185,Lyft,LYFT,2022-11-03,13.80,13.72,11.10,-0.58,-19.10
186,Opendoor,OPEN,2022-11-02,3.14,2.29,1.71,-27.07,-25.33
187,Oracle,ORCL,2022-11-01,59.89,73.59,80.27,22.87,9.08
188,Amazon,AMZN,2022-10-28,118.01,103.41,93.95,-12.37,-9.15
189,F5,FFIV,2022-10-21,146.25,147.62,152.79,0.94,3.50
190,Microsoft,MSFT,2022-10-17,237.30,230.31,235.04,-2.95,2.05
191,Salesforce,CRM,2022-10-13,155.41,142.97,155.05,-8.01,8.45
192,Peloton,PTON,2022-10-06,8.69,8.83,9.39,1.61,6.34
193,Spotify,SPOT,2022-10-06,102.59,92.25,71.05,-10.08,-22.98
194,Uber,UBER,2022-09-07,31.85,30.03,28.07,-5.71,-6.53
195,Shopify,SHOP,2022-09-01,37.74,31.27,26.94,-17.14,-13.85
196,Snap,SNAP,2022-08-31,9.54,10.88,9.82,14.05,-9.74
197,Wayfair,W,2022-08-19,56.43,57.01,46.05,1.03,-19.22
198,Peloton,PTON,2022-08-12,8.93,13.53,11.05,51.51,-18.33
199,Oracle,ORCL,2022-08-01,66.99,73.53,70.40,9.76,-4.25
200,Rivian,RIVN,2022-07-27,28.44,32.01,32.11,12.55,0.31
201,Shopify,SHOP,2022-07-26,37.32,31.55,34.34,-15.46,8.84
202,Lyft,LYFT,2022-07-20,14.67,14.70,16.65,0.20,13.27
203,Microsoft,MSFT,2022-07-12,234.39,245.43,277.70,4.71,13.15
204,Shopify,SHOP,2022-07-06,36.06,33.04,40.81,-8.38,23.52
205,Unity,U,2022-06-29,39.97,39.52,37.39,-1.13,-5.39
206,Redfin,RDFN,2022-06-14,,,,,
207,PayPal,PYPL,2022-05-23,85.29,80.48,72.34,-5.64,-10.11
208,Peloton,PTON,2022-02-08,34.37,37.27,22.61,8.44,-39.33
209,Salesforce,CRM,2020-08-26,187.71,267.69,238.61,42.61,-10.86
210,Shopify,SHOP,2020-08-14,95.94,98.79,93.18,2.97,-5.68
211,Uber,UBER,2020-06-12,33.02,32.24,31.72,-2.36,-1.61
212,Rivian,RIVN,2020-06-02,,,,,
213,Uber,UBER,2020-05-26,30.08,34.56,30.58,14.89,-11.52
214,Uber,UBER,2020-05-18,28.00,33.62,33.29,20.07,-0.98
215,Uber,UBER,2020-05-06,25.99,27.82,37.21,7.04,33.75
216,Lyft,LYFT,2020-04-29,26.92,34.06,31.26,26.52,-8.22
217,Opendoor,OPEN,2020-04-15,,,,,
218,Redfin,RDFN,2020-04-07,,,,,
